timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2020-04-13,48889.18888500,48889.18888500,46560.86250000,48422.65966500,6903.79000000,6903.79000000,6575.00000000,6837.91000000,96415.47657300,96415.47657300
2020-04-12,48698.34246000,50823.92550000,48012.57000000,48889.18888500,6876.84000000,7177.00000000,6780.00000000,6903.79000000,73868.66650100,73868.66650100
2020-04-11,48571.44198000,49176.06045000,47870.94000000,48698.27164500,6858.92000000,6944.30000000,6760.00000000,6876.83000000,45470.29320600,45470.29320600
2020-04-10,51578.38851000,51664.85362500,47729.16837000,48571.44198000,7283.54000000,7295.75000000,6739.98000000,6858.92000000,104674.62337500,104674.62337500
2020-04-09,52121.68119000,52204.25148000,50335.86852000,51578.38851000,7360.26000000,7371.92000000,7108.08000000,7283.54000000,61094.87241700,61094.87241700
2020-04-08,50967.82158000,52544.73000000,50632.72500000,52128.90432000,7197.32000000,7420.00000000,7150.00000000,7361.28000000,76059.14583800,76059.14583800
2020-04-07,51906.68685000,52825.79473500,50115.77550000,50967.82158000,7329.90000000,7459.69000000,7077.00000000,7197.32000000,103585.16891800,103585.16891800
2020-04-06,47961.44157000,52085.42391000,47906.34750000,51906.68685000,6772.78000000,7355.14000000,6765.00000000,7329.90000000,118052.00083200,118052.00083200
2020-04-05,48560.74891500,48830.76651000,47286.85788000,47961.44157000,6857.41000000,6895.54000000,6677.52000000,6772.78000000,49685.35698300,49685.35698300
2020-04-04,47679.52705500,49502.58841500,47092.04581500,48557.77468500,6732.97000000,6990.41000000,6650.01000000,6856.99000000,72990.86113900,72990.86113900
2020-04-03,48110.71959000,49910.41200000,46752.77115000,47687.52915000,6793.86000000,7048.00000000,6602.10000000,6734.10000000,104080.27693900,104080.27693900
2020-04-02,47044.95384000,50972.63700000,46390.90650000,48112.34833500,6643.36000000,7198.00000000,6551.00000000,6794.09000000,149299.90687100,149299.90687100
2020-04-01,45407.56941000,47303.99511000,43552.00396500,47041.83798000,6412.14000000,6679.94000000,6150.11000000,6642.92000000,97500.75240000,97500.75240000
2020-03-31,45282.29767500,46194.25324500,44764.99410000,45395.53086000,6394.45000000,6523.23000000,6321.40000000,6410.44000000,72337.59525900,72337.59525900
2020-03-30,41642.76075000,46730.81850000,41481.72744000,45281.80197000,5880.50000000,6599.00000000,5857.76000000,6394.38000000,118889.54999200,118889.54999200
2020-03-29,44164.83697500,44372.67900000,41544.04464000,41649.27573000,6236.65000000,6266.00000000,5866.56000000,5881.42000000,63311.62771400,63311.62771400
2020-03-28,45032.03746500,45038.34000000,42658.95600000,44164.83697500,6359.11000000,6360.00000000,6024.00000000,6236.65000000,93159.69342900,93159.69342900
2020-03-27,47709.97750500,48455.80108500,44337.27150000,45032.03746500,6737.27000000,6842.59000000,6261.00000000,6359.11000000,82914.96835400,82914.96835400
2020-03-26,47286.14973000,48012.57000000,46100.56500000,47710.61484000,6677.42000000,6780.00000000,6510.00000000,6737.36000000,83026.55521100,83026.55521100
2020-03-25,47762.52223500,49272.79374000,45675.67500000,47286.22054500,6744.69000000,6957.96000000,6450.00000000,6677.43000000,132155.73498900,132155.73498900
2020-03-24,45783.66787500,48387.88950000,45118.57339500,47762.73468000,6465.25000000,6833.00000000,6371.33000000,6744.72000000,151138.00987800,151138.00987800
2020-03-23,41186.35807500,46737.90000000,40279.57200000,45798.25576500,5816.05000000,6600.00000000,5688.00000000,6467.31000000,164674.21578500,164674.21578500
2020-03-22,43813.52376000,45377.33140500,40605.39181500,41187.34948500,6187.04000000,6407.87000000,5734.01000000,5816.19000000,119115.99052700,119115.99052700
2020-03-21,43937.66245500,45725.10387000,41497.73163000,43813.09887000,6204.57000000,6456.98000000,5860.02000000,6186.98000000,128913.66836300,128913.66836300
2020-03-20,43636.55707500,48862.35000000,40152.10500000,43964.50134000,6162.05000000,6900.00000000,5670.00000000,6208.36000000,219298.32951400,219298.32951400
2020-03-19,38192.37069000,45321.60000000,37195.79119500,43638.82315500,5393.26000000,6400.00000000,5252.53000000,6162.37000000,199020.87343900,199020.87343900
2020-03-18,37621.46016000,38496.23785500,35473.85365500,38190.81276000,5312.64000000,5436.17000000,5009.37000000,5393.04000000,137127.63489400,137127.63489400
