date,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
10/05/2020,210.09,210.09,210.18,210.18,179.59,179.59,187.54,187.54,1473226.055,1473226.055
09/05/2020,211.32,211.32,214.6,214.6,208.4,208.4,210.07,210.07,587871.9807,587871.9807
08/05/2020,212.01,212.01,216.61,216.61,206.9,206.9,211.31,211.31,917908.1944,917908.1944
07/05/2020,198.92,198.92,215.1,215.1,196.43,196.43,212,212,1305778.738,1305778.738
06/05/2020,205.3,205.3,210.77,210.77,197.71,197.71,198.97,198.97,862700.6785,862700.6785
05/05/2020,206.47,206.47,211.68,211.68,201,201,205.29,205.29,640644.6627,640644.6627
04/05/2020,209.86,209.86,210.65,210.65,194.88,194.88,206.48,206.48,1114249.327,1114249.327
03/05/2020,213.89,213.89,219.3,219.3,203.92,203.92,209.86,209.86,748383.9131,748383.9131
02/05/2020,212.01,212.01,215.37,215.37,210.36,210.36,213.9,213.9,443494.6725,443494.6725
01/05/2020,206.07,206.07,217.14,217.14,205.91,205.91,212.02,212.02,794913.9583,794913.9583
30/04/2020,215.4,215.4,227.3,227.3,202,202,206.08,206.08,1749691.002,1749691.002
29/04/2020,196.24,196.24,218.77,218.77,196.22,196.22,215.36,215.36,1620422.724,1620422.724
28/04/2020,196.33,196.33,198.5,198.5,192.36,192.36,196.24,196.24,636829.894,636829.894
27/04/2020,197.39,197.39,199.05,199.05,189.29,189.29,196.34,196.34,896627.3727,896627.3727
