Date,Open,High,Low,Close,Price,Volume,Year,Month,Day
2016-06-28,448.0,448.0,433.0,440.399994,440.22171,10190394.0,2016,6,28
2016-06-29,447.100006,449.799988,445.399994,447.25,447.068939,6285461.0,2016,6,29
2016-06-30,454.299988,462.25,451.549988,459.25,459.064087,13214064.0,2016,6,30
2016-07-01,463.600006,464.75,454.700012,457.899994,457.71463,7027759.0,2016,7,1
2016-07-04,467.0,474.850006,467.0,469.5,469.309937,8413087.0,2016,7,4
2016-07-05,468.5,469.0,459.5,460.899994,460.713409,4934087.0,2016,7,5
2016-07-07,460.950012,465.450012,454.100006,455.149994,454.965729,6580663.0,2016,7,7
2016-07-08,464.299988,468.200012,462.649994,466.299988,466.111206,9263727.0,2016,7,8
2016-07-11,472.100006,486.799988,472.100006,484.600006,484.403809,10477166.0,2016,7,11
2016-07-12,486.0,488.649994,481.100006,484.299988,484.103912,6767972.0,2016,7,12
2016-07-13,485.950012,488.100006,477.950012,481.100006,480.905243,5855718.0,2016,7,13
2016-07-14,480.100006,489.299988,478.950012,486.100006,485.903229,5983007.0,2016,7,14
2016-07-15,480.0,501.700012,479.649994,494.0,493.800018,8889558.0,2016,7,15
2016-07-18,495.0,505.0,490.0,492.649994,492.649994,7463954.0,2016,7,18
2016-07-19,493.899994,503.5,493.450012,499.25,499.25,7665519.0,2016,7,19
2016-07-20,496.299988,502.450012,492.450012,493.899994,493.899994,5697901.0,2016,7,20
2016-07-21,498.450012,500.0,489.700012,491.049988,491.049988,3658371.0,2016,7,21
2016-07-22,494.450012,508.450012,493.5,507.200012,507.200012,5588143.0,2016,7,22
2016-07-25,505.5,510.950012,503.350006,509.0,509.0,4638151.0,2016,7,25
2016-07-26,506.049988,513.349976,502.100006,503.25,503.25,6187499.0,2016,7,26
2016-07-27,507.75,513.049988,505.5,510.100006,510.100006,5193425.0,2016,7,27
2016-07-28,510.0,511.899994,498.75,506.850006,506.850006,6338260.0,2016,7,28
2016-07-29,507.799988,510.5,501.100006,503.200012,503.200012,3746332.0,2016,7,29
2016-08-01,506.799988,514.900024,505.5,508.25,508.25,4748497.0,2016,8,1
2016-08-02,510.0,511.200012,491.149994,493.299988,493.299988,5251838.0,2016,8,2
2016-08-03,494.5,499.5,475.5,478.399994,478.399994,7925049.0,2016,8,3
2016-08-04,490.100006,501.450012,488.600006,500.0,500.0,9476008.0,2016,8,4
2016-08-05,507.200012,518.700012,502.149994,516.400024,516.400024,6393514.0,2016,8,5
2016-08-08,518.200012,522.599976,513.400024,514.799988,514.799988,4649302.0,2016,8,8
2016-08-09,521.0,522.0,509.200012,513.799988,513.799988,6015760.0,2016,8,9
2016-08-10,515.599976,516.5,502.299988,503.450012,503.450012,6371139.0,2016,8,10
2016-08-11,503.75,505.0,495.100006,503.25,503.25,4112806.0,2016,8,11
2016-08-12,506.899994,519.5,506.149994,516.799988,516.799988,7167435.0,2016,8,12
2016-08-16,512.950012,515.0,503.299988,507.600006,507.600006,6034295.0,2016,8,16
